fraction, reciprocity, specify
0.2197265625, 0.0966796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.6767578125, 0.0966796875, 1.0
1,0.5,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0.9,1
1,1,0
1,1,0
1,1,0
1,1,0
