N,R,T,M,A,S,S_am,max,skew_a,skew_g
528897,0.1828439694884888,0.101792864574852,0.6047210588487986,0.12457545222971653,4.749388882984377,9409,464,2.3480362362803637,2.340389787052504
528950,0.18349603191926867,0.10249566417564246,0.6061200600996862,0.13104545797434214,4.7563754747693965,9215,429,2.242965193470837,2.268856247907961
528777,0.18333331595460814,0.10260701712987473,0.6074015377797581,0.12636953392656042,4.803030303030303,9504,455,2.3798547467583955,2.4765696159991992
528399,0.10906170566913634,0.07447049882176313,0.3954684924192948,0.13046027513164835,4.523763955342902,9405,362,1.8814426060094056,1.7338743582121268
525055,0.864310357064195,0.12715514518959892,0.42292595893298063,0.14750157114641502,4.546363636363637,9900,297,1.5753881563860117,1.6152393957205984
529021,0.0765811428478452,0.09990261582679426,0.5747994900044539,0.11900568894554152,4.788815995001562,9603,545,2.427724360468374,2.4953238611737976
522291,0.7594117893064745,0.14972596294129076,0.6332564557665907,0.170820348239482,4.711515151515153,9900,257,1.426162381052075,1.646690628570341
532446,0.7948366710170356,0.04744428980110271,0.7000413400964087,0.13632124641323606,4.605918367346939,9800,140,0.6703735870381801,0.9019128359574381
521278,0.9003964152716138,0.14794199057856058,0.4469709077765183,0.14980757373897455,4.550045913682277,9801,295,1.6968954247240609,1.7277542138602922
529008,0.18336250773270465,0.10154654991496197,0.6036039992850262,0.12897451084653952,4.734421052631579,9500,459,2.252551472697953,2.271212017290911
530699,0.11098804676925604,0.06515951734444657,0.4110066901816569,0.14231403254123684,4.455473098330241,9702,220,1.3773105480953842,1.2682468102734803
521575,0.7923477258345162,0.15511373149976546,0.6368986215889488,0.17144255603845146,4.729795918367347,9800,285,1.4692615069291723,1.8480673209925689
528634,0.07407861303790125,0.0998214840650053,0.5684590702284618,0.12287580451343047,4.760425531914893,9400,531,2.41211447905244,2.6165505737273875
522144,0.863931960330062,0.13947384743384506,0.4379592718787794,0.14773935013656275,4.5147433935312735,9801,293,1.6381471454658476,1.6449853265017451
530860,0.1115983129529998,0.06503565281251597,0.41067251747412337,0.14259133201269955,4.471964543393115,9702,245,1.3723763693841715,1.2480124012060132
524607,0.9007639675273929,0.13408680581334573,0.4301905354307282,0.14946693809813166,4.5232,10000,285,1.605471894872106,1.684445235980185
518870,0.7918981919159708,0.16539746969900496,0.6549853066543379,0.1738942268153734,4.817483694508732,9506,284,1.4875209706091448,1.7276896277231837
530563,0.0788942704380482,0.09720212762718852,0.5831897059582499,0.13151105550331293,4.848068311985838,9603,331,1.8063940533509129,1.7307078539116785
522483,0.9121364230465959,0.16884102124228448,0.6736797901870976,0.1806919468590628,4.7726762575247434,9801,307,1.5953352307827855,2.22094250266234
510748,0.8985182591079574,0.21223454109581133,0.7065738171485959,0.20130843911557852,4.884869099154813,9702,304,1.7104639917549938,2.002964201330057
521541,0.8996037091708146,0.1485407558429611,0.4475369753972073,0.15048081364862134,4.575952030296655,9506,378,1.6923036842468069,1.7136659422396336
522298,0.9116125893650324,0.17164155799867614,0.6795440456238724,0.18265527139336216,4.8351,10000,279,1.601254653417083,2.0308716479800206
536278,0.09287849833102464,0.057119507693477636,0.6803914080749468,0.11474957803601114,4.7082402977139814,9405,179,0.7320032072216,0.7552627473016963
529987,0.058206639192837466,0.06866551321775091,0.4110147544059544,0.13173606875941887,4.580339477246693,9603,291,1.711941969830854,1.4955509720835851
518635,0.5694631260881664,0.14449613287970342,0.6459003608020679,0.17608930817285287,4.653979591836736,9800,254,1.5416382262713617,1.8647162565689164
525526,0.7000756291035085,0.13311481433676414,0.6449090658589328,0.1699418632705496,4.6426530612244905,9800,237,1.2999937944065512,1.6893428553559366
